Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-16,364.65,364.8,356.0,359.0,358.5,110681.0,397.9
2018-11-15,355.9,367.3,352.05,365.1,364.65,737147.0,2652.51
2018-11-14,351.5,359.7,351.1,359.25,356.85,259755.0,923.72
2018-11-13,348.85,355.0,342.85,351.5,352.3,161587.0,564.65
2018-11-12,342.25,350.0,338.85,346.85,348.85,81885.0,283.36
2018-11-09,348.0,351.0,342.05,346.0,346.75,131132.0,455.07
2018-11-07,348.6,349.5,345.0,349.0,348.2,28817.0,100.17
2018-11-06,344.9,350.0,335.0,343.15,344.25,884871.0,3002.42
2018-11-05,342.0,346.9,332.55,340.4,340.75,341141.0,1161.33
2018-11-02,313.9,343.75,313.9,339.7,338.8,440722.0,1470.48
2018-11-01,312.3,315.0,310.0,313.0,312.7,174382.0,544.48
2018-10-31,317.8,317.8,307.95,307.95,309.8,429175.0,1335.9
2018-10-30,314.0,370.0,310.5,315.4,315.85,121544.0,383.5
2018-10-29,310.0,313.0,302.5,312.6,312.15,75334.0,232.81
2018-10-26,304.25,308.5,301.3,305.9,305.1,200761.0,612.63
2018-10-25,306.0,312.65,297.2,304.15,303.95,113621.0,347.11
2018-10-24,316.45,318.0,309.7,312.0,312.15,58550.0,183.23
2018-10-23,307.0,316.5,305.3,310.95,310.65,323746.0,1013.76
2018-10-22,313.95,318.8,308.75,314.0,313.8,73221.0,229.36
2018-10-19,314.4,324.5,306.3,320.6,312.7,225022.0,695.42
2018-10-17,325.35,328.1,313.1,318.45,316.65,109826.0,353.69
2018-10-16,315.0,323.0,311.95,318.5,319.85,315103.0,999.16
2018-10-15,307.65,315.0,300.0,314.95,312.35,168125.0,516.49
2018-10-12,306.55,319.35,304.0,304.7,306.2,295196.0,908.96
2018-10-11,302.0,309.0,292.2,306.0,304.65,191568.0,582.28
2018-10-10,298.05,318.5,292.0,314.9,312.65,241137.0,743.57
2018-10-09,308.75,310.0,295.0,298.9,299.3,451495.0,1345.92
2018-10-08,324.0,329.0,292.15,308.0,306.95,284894.0,891.39
2018-10-05,329.95,339.4,319.05,326.0,327.25,688054.0,2280.4
2018-10-04,333.0,338.4,325.0,327.0,329.95,218265.0,721.52
2018-10-03,344.9,354.0,335.0,344.0,339.9,192504.0,656.24
2018-10-01,355.65,355.65,324.0,341.75,339.25,333032.0,1111.44
